河床,河槽
桃汛,春汛
洪量,洪水总量
圩,圩堤
马道,戗台
蛰陷,塌陷
牛皮胀,鼓泡
窨潮,散浸
旱情监测,干旱监测
蒸发蒸腾量,作物需水量
需水强度,蒸发蒸腾率
人工湖,水库
斜流泵,混流泵
重力分析法,材料力学法
干贫混凝土,碾压混凝土
活动坝,水闸
导流建筑物,导流屏
