京杭运河
邗沟
西门豹渠
引漳十二渠
鸿沟
狼汤渠
都江堰
郑国渠
秦渠
白起渠
灵渠
兴安运河
湘桂运河
汉延渠
漕渠
昆明池
白渠
龙首渠
汴水
鉴湖
白沟
利漕渠
赤山湖
破岗渎
车箱渠
练湖
荻塘
艾山渠
广通渠
通济渠
永济渠
江南运河
江南河
广济渠
东钱湖
唐徕渠
里运河
长渠
芙蓉湖
桑园围
胶莱河
济州河
会通河
通惠河
浙江海塘
江南海塘
钱塘江海塘
泇河
察布查尔渠
后套八大渠
大清渠
惠农渠
昌润渠
民生渠
泾惠渠
洛惠渠
渭惠渠
