李仪祉
潘镒芬
郑肇经
汪胡桢
须恺
张含英
高镜莹
施嘉炀
李赋都
张昌龄
沙玉清
崔宗培
王化云
顾兆勋
黄文熙
伍正诚
王鹤亭
张书农
刘光文
谢家泽
徐芝纶
黄万里
林一山
严恺
张光斗
张瑞瑾
李鹗鼎
林秉南
华士乾
钱宁
张蔚榛
赵人俊
徐乾清
谢鉴衡
左东启
陈志恺
潘家铮
王三一
陈明致
窦国仁
沈珠江
雷志栋
丹尼尔·伯努利
欧拉
谢才
拉格朗日
达西
傅汝德
斯托克斯
雷诺
恩格司
费理门
普朗特
萨凡奇
冯·卡门
太沙基
巴甫洛夫斯基
韦杰涅耶夫
泰勒
考斯加可夫
泰西
米勒
易家训
周文德
